*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:34
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 1997 175    28    26     4.1     0.0     4.1    0.00    3.74      4.2     0.0     3.2     0.9    4.65    2.18     0.0    1.8    0.5    0.04    0.08
 1997 176    29    27     4.6     0.0     4.6    0.00    3.66      4.9     0.0     3.5     1.0    4.59    2.15     0.0    1.8    0.5    0.04    0.09
 1997 177    30    28     5.2     0.0     5.2    0.00    3.55      5.6     0.0     4.0     1.2    4.50    2.09     0.0    1.8    0.6    0.05    0.10
 1997 178    31    29     5.9     0.0     5.9    0.00    3.51      6.5     0.0     4.5     1.4    4.48    2.09     0.0    1.7    0.8    0.05    0.11
 1997 179    32    30     6.6     0.0     6.6    0.00    3.54      7.4     0.0     5.0     1.7    4.54    2.13     0.0    1.8    0.8    0.06    0.12
 1997 180    33    31     7.4     0.0     7.4    0.00    3.49      8.5     0.0     5.5     1.9    4.51    2.11     0.0    1.8    0.9    0.06    0.12
 1997 181    34    32     8.5     0.0     8.5    0.00    3.52      9.6     0.0     6.2     2.2    4.56    2.14     0.0    1.8    1.1    0.07    0.13
 1997 182    35    33     9.5     0.0     9.5    0.00    3.49     10.9     0.0     7.0     2.5    4.55    2.13     0.0    1.8    1.1    0.08    0.15
 1997 183    36    34    10.4     0.0    10.4    0.00    3.50     11.9     0.0     7.6     2.8    4.58    2.14     0.0    1.8    1.0    0.09    0.16
 1997 184    37    35    11.4     0.0    11.4    0.00    3.51     13.0     0.0     8.2     3.1    4.62    2.16     0.0    1.8    1.1    0.10    0.17
 1997 185    38    36    12.5     0.0    12.5    0.00    3.52     14.2     0.0     9.0     3.5    4.65    2.17     0.0    1.8    1.2    0.11    0.18
 1997 186    39    37    13.7     0.0    13.7    0.00    3.46     15.9     0.0     9.8     3.9    4.59    2.13     0.0    1.8    1.3    0.13    0.19
 1997 187    40    38    15.2     0.0    15.2    0.00    3.44     17.6     0.1    10.8     4.4    4.59    2.12     0.0    1.8    1.6    0.14    0.21
 1997 188    41    39    16.9     0.0    16.9    0.00    3.43     19.6     0.1    12.0     4.9    4.60    2.12     2.8    1.8    1.8    0.16    0.22
 1997 189    42    40    18.6     0.0    18.6    0.00    3.41     21.8     0.2    13.1     5.5    4.59    2.12     2.8    1.8    1.9    0.18    0.24
 1997 190    43    41    20.7     0.0    20.7    0.00    3.41     24.1     0.3    14.5     6.2    4.62    2.12     2.8    1.8    2.2    0.20    0.26
 1997 191    44    42    22.6     0.0    22.5    0.00    3.42     25.9     0.5    15.7     6.8    4.64    2.13     2.8    1.8    1.8    0.22    0.28
